,artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre, pop,R&B,country,rock, rock, Folk/Acoustic, easy listening, Dance/Electronic,set(),pop, R&B,World/Traditional, metal, blues,latin,Dance/Electronic, latin,easy listening, jazz, country,metal,Folk/Acoustic, classical, hip hop,hip hop,cat,cluster
10,Avant,Separated,0.3842153761592473,0.0,2000,0.6179775280898876,0.7907801418439717,0.4502700985065141,0.0,0.7387093586322759,1.0,0.00795947901591896,0.25305907657199816,0.0,0.259170174383644,0.6470210717723821,0.31970669353983244,"pop, R&B",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,2
11,Mary Mary,Shackles (Praise You),0.22995263319556186,0.0,2000,0.7191011235955056,0.7683215130023641,0.8252303781379091,0.6363636363636364,0.8766182429093784,1.0,0.2510853835021708,0.0351244614648157,0.0,0.08069753457606733,0.814953470959461,0.2681194971889254,R&B,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4444444444444444,2
12,Mariah Carey,Thank God I Found You (feat. Joe & 98°),0.388957445318015,0.0,1999,0.6629213483146067,0.25886524822695034,0.5053490096388095,0.9090909090909091,0.7229963435122048,1.0,0.017908827785817656,0.6065496370420401,0.0,0.10162357185808778,0.11755267943095518,0.4593057176196032,"pop, R&B",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,2
13,LeAnn Rimes,Can't Fight The Moonlight,0.276187807493547,0.0,2001,0.7303370786516854,0.5898345153664303,0.8252303781379091,0.5454545454545454,0.7003162367822907,0.0,0.047937771345875554,0.41289828652366933,0.0,0.03547805171377029,0.6288373088030805,0.2509149252148085,"pop, country",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7777777777777778,2
14,P!nk,Most Girls,0.5010427163434336,0.0,2000,0.5842696629213483,0.7245862884160756,0.717190975532253,0.18181818181818182,0.7148927759660045,0.0,0.014290882778581768,0.04342380505846017,0.004527918781725889,0.09561034275405894,0.7015723606802866,0.25129282910788164,pop,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2222222222222222,5
15,Craig David,Fill Me In,0.3885263481217634,0.0,2000,0.6741573033707865,0.6536643026004729,0.7299014934858595,0.7272727272727273,0.6686925585532167,1.0,0.02405933429811867,0.3852338078781878,0.00965482233502538,0.046301864101022244,0.8438335650871751,0.4804948552031399,"hip hop, pop, R&B",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1111111111111111,1
16,Craig David,Fill Me In,0.3885263481217634,0.0,2000,0.6741573033707865,0.6536643026004729,0.7299014934858595,0.7272727272727273,0.6686925585532167,1.0,0.02405933429811867,0.3852338078781878,0.00965482233502538,0.046301864101022244,0.8438335650871751,0.4804948552031399,"hip hop, pop, R&B",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1111111111111111,1
17,Céline Dion,That's the Way It Is,0.34588275234004945,0.0,1999,0.7191011235955056,0.5969267139479906,0.8803092892702045,0.8181818181818182,0.7456270382448859,1.0,0.0365412445730825,0.15777031679311723,0.0,0.11605532170775706,0.5764252861268584,0.21892569216081476,pop,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,5
18,3 Doors Down,Kryptonite,0.3258367327143496,0.0,2000,0.8764044943820225,0.49172576832151305,0.8580658828513928,1.0,0.7315940310307343,0.0,0.009768451519536907,0.006783740008000158,1.116751269035533e-05,0.17618761274804573,0.5400577601882555,0.25849952264771403,"pop, rock, metal",0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,4
19,Fuel,Hemorrhage (In My Hands),0.33373928319313695,0.0,2000,0.550561797752809,0.21749408983451538,0.8220527486495074,0.09090909090909091,0.8212273940112659,1.0,0.031114327062228657,0.00011045299251788559,0.0003461928934010152,0.2627781118460613,0.3143651727457482,0.6100495915985997,"rock, pop, metal",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,4
20,Savage Garden,Crash and Burn,0.45390762664827317,0.0,1999,0.6067415730337079,0.5342789598108747,0.5847897468488508,0.36363636363636365,0.5957110386401818,1.0,0.00868306801736614,0.19363167800022296,1.6243654822335024e-06,0.08021647624774506,0.18707883196063751,0.2785284289805877,pop,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2222222222222222,2
21,Gabrielle,Rise,0.2858524677620128,0.0,2001,0.6741573033707865,0.5070921985815604,0.45132930833598134,0.7272727272727273,0.5448660934874987,1.0,0.005065123010130247,0.32273257834580354,8.964467005076143e-06,0.08238123872519544,0.6341854743822869,0.561246950249284,"pop, R&B",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7777777777777778,2
22,Gabrielle,Rise,0.2858524677620128,0.0,2001,0.6741573033707865,0.5070921985815604,0.45132930833598134,0.7272727272727273,0.5448660934874987,1.0,0.005065123010130247,0.32273257834580354,8.964467005076143e-06,0.08238123872519544,0.6341854743822869,0.561246950249284,"pop, R&B",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7777777777777778,2
23,Creed,With Arms Wide Open,0.4359470397094405,0.0,1999,0.7191011235955056,0.3321513002364066,0.51276347844508,0.0,0.5979839905128965,1.0,0.012662807525325621,0.004334921342714939,0.0009035532994923857,0.11485267588695129,0.11006524762006631,0.5226543439058025,"pop, rock, metal",0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,4
24,iio,Rapture (feat.Nadia Ali),0.37878894020143017,0.0,2006,0.6067415730337079,0.6288416075650118,0.8474737845567206,0.7272727272727273,0.5984286984879928,1.0,0.0262301013024602,0.07395719260051017,0.01878172588832487,0.21346963319302467,0.6020964809070488,0.42380927124217677,Dance/Electronic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1111111111111111,5
25,Jessica Simpson,Irresistible,0.21831300889676838,0.0,2001,0.48314606741573035,0.624113475177305,0.9639868657981145,0.7272727272727273,0.8767170669038442,0.0,0.05861070911722142,0.029181721607638184,8.9746192893401e-05,0.04052916416115454,0.674831532784255,0.2187466850535696,"pop, R&B",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4444444444444444,5
26,Michael Jackson,You Rock My World,0.6055110387825815,0.0,2001,0.7191011235955056,0.8569739952718676,0.6546975955936871,0.36363636363636365,0.8588793359027571,0.0,0.29269175108538353,0.03891551964956688,0.00023045685279187816,0.2808177991581479,0.9807466039148572,0.23192028216824018,"pop, R&B",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,5
27,Gorillaz,Clint Eastwood,0.6140979560604183,1.0,2001,0.8314606741573034,0.6312056737588653,0.6769410020124986,0.9090909090909091,0.5873604111078169,0.0,0.2673661360347323,0.025902968582988517,0.0,0.058087793144918826,0.5208043641031127,0.7155908560517662,hip hop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,7
28,Jennifer Lopez,Love Don't Cost a Thing,0.29159953225954205,0.0,2001,0.7528089887640449,0.7765957446808511,0.8337040567736468,0.36363636363636365,0.7608953453898606,0.0,0.0859261939218524,0.0031053889584713146,3.5939086294416242e-06,0.5429945880938063,0.6919456626377153,0.2490055160708603,"hip hop, pop, R&B",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7777777777777778,1
29,112,Peaches & Cream,0.2157991733711262,0.0,2001,0.7078651685393258,0.6477541371158393,0.49263849168520285,0.36363636363636365,0.7045656685443226,0.0,0.5622286541244574,0.0028184980688144685,0.0,0.038123872519542995,0.7807252112525405,0.9536636787949506,"hip hop, pop, R&B",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4444444444444444,1
30,Blue,If You Come Back,0.2547784429847014,0.0,2001,0.651685393258427,0.5354609929078014,0.6907107297955725,0.9090909090909091,0.7919260796521396,1.0,0.01573806078147612,0.08420329580254038,0.0,0.030306674684305472,0.7090597924911755,0.1216983133552562,pop,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4444444444444444,5
